;Molecule ChEMBL ID;Smiles;Smiles_STAND;Standard Type;Standard Relation;Standard Value;Standard Units
25;CHEMBL328710;CN(C)c1ccc(/C=C2\C(=O)Nc3ccccc32)cc1;CN(C)c1ccc(/C=C2\C(=O)Nc3ccccc32)cc1;Ki;'=';261.5;nM
26;CHEMBL3593914;CN(C)c1ccc(/C=C/C=C2\C(=O)N(Cc3ccccc3)c3ncccc32)cc1;CN(C)c1ccc(/C=C/C=C2\C(=O)N(Cc3ccccc3)c3ncccc32)cc1;Ki;'=';257;nM
27;CHEMBL207649;CC(=C(C#N)C#N)c1ccc2cc(N(C)CCF)ccc2c1;CC(=C(C#N)C#N)c1ccc2cc(N(C)CCF)ccc2c1;Ki;'=';256;nM
28;CHEMBL3593910;COc1ccc(CN2C(=O)/C(=C\C=C\c3ccc(N(C)C)cc3)c3ccccc32)cc1;COc1ccc(CN2C(=O)/C(=C\C=C\c3ccc(N(C)C)cc3)c3ccccc32)cc1;Ki;'=';239.7;nM
29;CHEMBL3593908;CN(C)c1ccc(/C=C/C=C2\C(=O)N(C)c3ccccc32)cc1;CN(C)c1ccc(/C=C/C=C2\C(=O)N(C)c3ccccc32)cc1;Ki;'=';229.1;nM
30;CHEMBL3593928;COc1cccc(CN2C(=O)/C(=C\C=C\c3ccc([N+](=O)[O-])cc3)c3ccccc32)c1;COc1cccc(CN2C(=O)/C(=C\C=C\c3ccc([N+](=O)[O-])cc3)c3ccccc32)c1;Ki;'=';228.6;nM
31;CHEMBL3593894;CN(C)c1ccc(/C=C2\C(=O)Nc3ccc(O)cc32)cc1;CN(C)c1ccc(/C=C2\C(=O)Nc3ccc(O)cc32)cc1;Ki;'=';212.4;nM
32;CHEMBL3593923;O=C1Nc2ccccc2/C1=C\C=C\c1ccc([N+](=O)[O-])cc1;O=C1Nc2ccccc2/C1=C\C=C\c1ccc([N+](=O)[O-])cc1;Ki;'=';208.7;nM
33;CHEMBL3593915;COc1ccc(CN2C(=O)/C(=C\C=C\c3ccc(N(C)C)cc3)c3cccnc32)cc1;COc1ccc(CN2C(=O)/C(=C\C=C\c3ccc(N(C)C)cc3)c3cccnc32)cc1;Ki;'=';204.3;nM
34;CHEMBL3593893;CN(C)c1ccc(/C=C2\C(=O)Nc3ncccc32)cc1;CN(C)c1ccc(C=C2C(=O)Nc3ncccc32)cc1;Ki;'=';191.3;nM
35;CHEMBL3593912;CN(C)c1ccc(/C=C/C=C2\C(=O)N(c3ccncc3)c3ccccc32)cc1;CN(C)c1ccc(/C=C/C=C2\C(=O)N(c3ccncc3)c3ccccc32)cc1;Ki;'=';188;nM
36;CHEMBL3593902;COc1ccc(/C=C/C=C2\C(=O)Nc3ccccc32)cc1;COc1ccc(/C=C/C=C2\C(=O)Nc3ccccc32)cc1;Ki;'=';169;nM
37;CHEMBL3593930;COc1ccc(CN2C(=O)/C(=C\C=C\c3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1OC;COc1ccc(CN2C(=O)/C(=C\C=C\c3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1OC;Ki;'=';151.7;nM
38;CHEMBL3593916;CN(C)c1ccc(/C=C/C=C2\C(=O)N(Cc3ccc(N)cc3)c3ccccc32)cc1;CN(C)c1ccc(/C=C/C=C2\C(=O)N(Cc3ccc(N)cc3)c3ccccc32)cc1;Ki;'=';131.1;nM
39;CHEMBL3593924;O=C1/C(=C\C=C\c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccccc1;O=C1/C(=C\C=C\c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccccc1;Ki;'=';121.5;nM
40;CHEMBL4543631;CN(C)c1ccc2c(c1)SC1=CC(N(C)C)C=CC1N2.CS(=O)(=O)O.CS(=O)(=O)O;CN(C)c1ccc2c(c1)SC1=CC(N(C)C)C=CC1N2;Ki;'=';120;nM
41;CHEMBL2069432;CNc1ccc(/C=C2\Nc3ccc(I)cc3C2=O)cc1;CNc1ccc(CC2=Nc3ccc(I)cc3C2=O)cc1;Ki;'=';112;nM
42;CHEMBL3593911;CN(C)c1ccc(/C=C/C=C2\C(=O)N(Cc3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1;CN(C)c1ccc(/C=C/C=C2\C(=O)N(Cc3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1;Ki;'=';90;nM
43;CHEMBL3593932;O=C1/C(=C\C=C\c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccc(OCCF)cc1;O=C1/C(=C\C=C\c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccc(OCCF)cc1;Ki;'=';80.1;nM
44;CHEMBL3593926;COc1ccc(CN2C(=O)/C(=C\C=C\c3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1;COc1ccc(CN2C(=O)/C(=C\C=C\c3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1;Ki;'=';72.4;nM
45;CHEMBL1790006;Cc1cc2nc3ccc(N(C)C)cc3[s+]c2cc1N.[Cl-];Cc1cc2nc3ccc(N(C)C)cc3[s+]c2cc1N;Ki;'=';69;nM
46;CHEMBL2219511;Nc1ccc(-c2ccc3cc(OCCF)ccc3n2)cc1;Nc1ccc(-c2ccc3cc(OCCF)ccc3n2)cc1;Ki;'=';59.3;nM
47;CHEMBL3593903;CN(C)c1ccc(/C=C/C=C2\C(=O)Nc3ccccc32)cc1;CN(C)c1ccc(/C=C/C=C2\C(=O)Nc3ccccc32)cc1;Ki;'=';53.7;nM
48;CHEMBL3593905;CN(C)c1ccc(/C=C/C=C2\C(=O)Nc3ccc(O)cc32)cc1;CN(C)c1ccc(/C=C/C=C2\C(=O)Nc3ccc(O)cc32)cc1;Ki;'=';48;nM
49;CHEMBL3947029;CNc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cn1;CNc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cn1;Ki;'=';40.1;nM
50;CHEMBL3593918;Nc1ccc(/C=C/C=C2\C(=O)Nc3ccccc32)cc1;Nc1ccc(C=CC=C2C(=O)Nc3ccccc32)cc1;Ki;'=';38.3;nM
