ID_REF,Control_1,Control_2,Control_3,Control_4,Treated_1,Treated_2,Treated_3,Treated_4
243756_at,600.4,740.5,290.9,393.7,543.5,172,618.6,701.2
243760_at,1083,1646.6,2117.2,2012.6,2618.3,1624.8,3773.4,1626.7
243763_x_at,8378.5,5147.1,6720.5,14999.7,5738.2,7139.1,11063.5,4413.2
243768_at,2387.5,2058.4,1845,1090.4,3336.7,1437.3,3101.4,10813.6
243772_at,405.9,431.2,276.5,776.8,598,650.6,252.2,457.2
243779_at,1235.4,189.3,317.9,625,514.5,446.4,857.1,272.1
243781_at,660.7,693.9,84.8,452.9,302.5,280,260.4,387.7
243786_at,721.4,1583.7,1505,794,1434.4,643.6,437.8,888.6
243790_at,1560.8,1581.6,1531.3,826.7,1606.3,1602.8,2586.6,1970.3
243791_at,2000.3,1062.6,630,235.7,1525.8,1561.5,520.2,2422.5
243799_x_at,386.9,725.1,144.8,777.1,406.9,446.2,72.1,123.7
243801_x_at,2028.8,1798.1,1958.6,2481,3252.2,3012.5,3036.1,1615.4
243804_at,902.7,606.6,357.1,753.9,1034,732.9,427.1,1490.8
243808_at,823.7,715.5,290,34.7,211.9,396.3,441.2,307.5
243819_at,615.9,148,295.9,153.6,200.5,58.5,106.2,180.7
243827_at,411.2,472.9,548.8,24.6,383.8,1260.4,186.9,310.5
243828_at,201.9,254.2,359.5,93.9,649.8,551.7,104.4,436.4
243829_at,168.3,160,292.6,132.2,334.9,125.6,196.5,180.3
243835_at,110.1,822.5,77.1,273,371.2,830.2,118.6,528.9
243843_at,180.8,256.1,258.7,192,486,321,238.2,201.9
243855_at,387.2,766.6,667.9,393.4,459.4,348.7,67.7,1896.6
243868_at,2996.6,3497.9,3507.1,3140.7,2295.7,1893.9,3069.6,4204.8
243872_at,333.9,187,289,126.1,229.5,194.8,152.8,121.9
243881_at,1878.2,975.9,1416.5,2799.1,607.6,1580.2,294.6,734.1
243888_at,419.9,72.1,35,201.1,175.7,67.1,175.4,129.1
243893_at,627.3,441.6,772,494.1,288.3,423.2,986.9,538.5
243894_at,462.2,715.5,777.6,256.5,304.3,730.5,419.7,607
243895_x_at,2891.7,3340.1,1853.7,920.4,3544.7,2110.2,2407.2,2584.4
243897_at,332,93.3,393.2,391.9,209,27.5,339.8,160.2
243902_at,1076.6,937.2,1628.6,555.9,917.2,889.7,858.5,841.7
243904_at,1198.2,837.9,886.9,1569.2,1316.4,894.1,933.1,912.8
243906_at,393.6,64.9,421.3,916.3,187,170.8,327.4,217.1
243910_x_at,364.1,586.9,252.4,125.8,216.2,433.7,170.7,343.1
243911_at,478.6,305.2,391.3,748.8,405.3,196,270.6,144
243915_at,669.6,1841.7,519.9,571.8,607.8,110.6,377.5,1551
243916_x_at,7844.9,4850,4008.8,5738.8,2990.2,7883.4,3781.1,1909.7
243919_at,276.5,267.5,236.2,393.6,235.3,515.8,229.9,321.4
243924_at,1494.6,657.7,886.9,455,1345.3,1050.1,419.2,1285.9
243939_at,620.9,9.1,169.4,287.1,152.5,55.6,20.7,105.4
243942_at,409.8,21.2,66.3,28,126.1,222.6,80.8,59.4
243958_at,792.9,1186.1,649.2,429.4,450.2,610.2,155.3,332.6
243960_x_at,1900.3,826.2,1376.1,1675.9,1578,1416.2,1985.7,1575.1
243963_at,351.9,61.5,279.2,195.2,20.5,10.1,117.6,202.9
243969_at,246.1,1229,340.3,237.8,1313.5,1197.9,374.5,1096.6
243976_at,1253.3,1693,941.4,657.1,1254.2,933.8,1137.6,1026.2
243982_at,430,293,279.9,7.1,233.2,284.6,145.9,436.4
243988_at,89.2,194,136.4,183.9,336.3,170.3,371.8,200.1
243989_at,205.4,53.9,24.7,256.9,172.4,224.1,261.6,151.9
243992_at,601.6,1241.8,2162.5,482.6,679.9,1409.4,1283.7,1076.3
243993_at,282.1,183.7,380.8,395.3,318.8,114.6,329.9,626.9
243998_at,1711.8,1014.7,1475.4,1063.3,936.6,1716.8,832.4,1496.3
243_g_at,985.7,874.3,1220.8,702.5,2380.6,641.9,1961.5,1320.8
244007_at,861.4,734.4,558,1597.7,975.8,813.9,570.9,961.1
244011_at,806.1,414,911.4,375.6,467.8,331.8,325.4,749.9
244014_x_at,339.3,232.7,245.1,311.1,260.6,30.8,156.8,188.8
244015_at,875,268.6,696.6,40.7,420.3,68,235.6,510.9
244021_at,679,449.8,1134.2,505.5,1120.1,634.9,837.9,919.5
244026_at,649.9,472.6,808.5,476.8,660.3,143.8,369.2,821.7
244027_at,490.5,267.1,20.5,13.1,118.4,189.4,26.5,169.6
244028_at,385.6,444.1,592.1,74.2,822.8,506.2,257.5,643.4
244033_at,195,263.3,131.2,197.1,107.6,39.2,69,75.1
244037_at,221.7,443.1,396.4,466,305.4,1018.1,54.1,658
244038_at,386,339.9,621.6,298.9,571.7,436.4,748.3,278.8
244051_at,341.6,165.1,416.3,484.1,140.9,452.4,397.7,118
244052_at,2036.6,1161.6,1357.4,3746,1662.5,1635.3,544.2,1396.6
244062_at,578.5,222.8,475.6,732.4,490.4,727.2,1352.7,376.5
244066_at,223.7,258.2,567.3,105.2,28.5,467.9,225.6,61.7
244072_at,823.7,1146.6,1286.2,296.4,883.7,409.9,593.5,794.3
244075_at,1183.2,868.1,1386.4,1637.9,1867.4,326,1415,1216.1
244076_at,622.5,418,276.5,690.5,471,777.3,285.3,567.5
244086_at,203.4,195.1,375.6,355.8,143.9,454.3,530,176.2
244100_at,418.4,119.5,199.9,347.4,236.8,78.7,61.5,180.8
244103_at,535.4,274.9,235.3,547.2,327.7,148,108.3,427.4
244111_at,1009,669.6,957.1,754.4,188.4,251.9,273.7,859
244112_x_at,760.5,997.2,766.8,171.3,582.9,928.3,16.7,841.8
244113_at,1975,1656.4,1866.1,1641.7,726.3,1645.7,1772.4,862.5
244121_at,1673.9,1616.1,1731.3,1657.5,1077.7,3642.3,1244.6,2421.8
244130_at,550.5,232.8,66.8,232.2,79.2,68.1,332.5,103.2
244132_x_at,630.6,1286.4,478.1,365.6,940.2,2108.1,998.7,1217.7
244134_at,359.4,433.7,158.6,212.4,160.8,89.2,535.6,107.6
244140_at,473.1,266.2,195.2,210.7,312.1,87.6,141.6,148.4
244142_at,307.5,185.5,323.2,199.2,521.4,661.7,493,712.7
244145_at,170.8,392.4,341.8,222,612.1,789.7,42.3,378.6
244146_at,898.1,348.8,498.7,673.1,663.5,1028.8,406.3,523.6
244153_at,822.8,587.7,713.7,599.6,842.5,284.4,934.3,283.2
244154_at,362.5,203.3,550.8,137.9,499.5,34.2,236.2,523.2
244162_at,1105.8,1186.7,1155.8,794.3,1347.4,625.9,964.6,2391.6
244170_at,305.4,1039.5,607.2,630.1,205.5,409.2,601.8,192.2
244171_at,733.9,476.3,371.4,371.4,456.5,600.9,571.7,821.7
244180_at,1214.2,1271.3,812.1,739.8,1241.7,1377.2,709.8,3034.8
244181_at,264.6,778.8,93.9,176.3,425.7,21.1,1306.7,360.3
244183_x_at,176.4,124.6,143.4,19,131.7,13.6,4.4,90.5
244185_at,584.5,553.3,531.9,759.2,649.7,317.2,934.2,824.7
244187_at,8014.8,4631.9,4151.2,4722.8,2813.7,3125,1980,4948.2
244193_at,716.6,592.8,1319.9,819.6,596.3,836.4,1237.2,605.4
244194_at,3546.1,3451,2652.6,2674.9,1924.4,1691.8,2814.8,3398.5
244197_x_at,16913.6,18695,21437,12959.8,22874.3,34586.7,34073.9,16779.8
244207_at,338.3,177.4,218.3,164.6,124.6,11.1,643.8,200.8
244219_at,321,237.1,258.8,283.4,83.9,312.5,200.8,178.1
244222_at,823.5,533.9,1449.8,1523.6,2154.1,822.8,1584.4,734.4
244228_at,237.5,426.3,290.8,188.7,427,4.1,475,363.3
244235_at,445.1,217.6,296.5,204.9,411.1,541.8,478.1,568.9
244236_at,521.9,96.6,349.2,43.8,155.9,106.5,107,291.8
244241_x_at,130.5,87,3.3,60.7,138.2,199.5,110.3,151.9
244247_at,415.9,104.9,133.2,316.9,563.6,523.5,463.5,556.1
244251_at,225.1,45.8,139.5,250.2,185.6,232.9,61.4,49.6
244254_at,420.3,210.9,138.9,62.7,71.3,374.4,245.8,83.4
244256_at,2157,2772.6,3106.4,1895.5,1680.1,2041.6,2112.1,2084
244259_s_at,547.5,273.6,610.7,128.1,135.9,142.3,873.4,717.4
244271_at,364.5,343.2,509.2,472.8,385.4,514.8,144.2,485.8
244281_at,1430,675.8,720.5,1211.7,701.3,509.9,758,332.9
244284_at,780.5,602.4,181.7,929.2,568.3,697.2,1209.2,433.5
244287_at,454,486.7,730,755.3,535.4,964.7,350.9,647.3
244288_s_at,258.4,137.6,350.1,318.8,268.8,277.3,220.3,55.2
244289_at,397.1,359.4,117.3,255.2,197.2,609.5,184.7,195.7
244290_at,533,408.9,418.6,734.1,939.6,309.9,420.2,577.7
244292_at,1013.5,1698.4,2018.8,2011,1828,2003.9,2705.7,1644.2
244293_at,1559.4,1754.5,1299.7,1236.3,876.2,1280.7,1257,846.7
244294_at,626.9,385.2,355.6,386.9,341,284.8,308.3,221.7
244306_at,177.6,295.2,322.5,421,652.9,446.8,471.4,429.6
244317_at,275.6,206.4,265.5,346.8,222.3,183.5,190.8,287.8
244318_at,464.4,382.5,514.1,234.5,408,249.2,279.1,391.3
244321_at,974.1,1904.8,2974.5,1091.6,1188,3240.7,1951.8,1632.4
244323_at,279.9,265.1,286.5,776.8,166,180.9,275.8,260.1
244324_at,431.9,290,517.8,496.7,600.9,1168,361.5,295.4
244328_x_at,572.9,165.1,307.4,317.9,288.5,225.5,155.2,106.7
244331_at,2448.7,2244.4,1439.3,840.5,3629.6,3453.1,1828,5514.5
244332_at,262.8,437.7,627.3,232.4,611.5,196.7,537,342.9
244334_at,415.1,396.4,284.4,216.8,588.1,46.2,211,448.1
244340_x_at,534.3,773.1,741,318.4,807.2,487.5,836.9,595.4
244349_at,717.6,225,603.8,684.4,408.8,287.5,889.6,641.5
244350_at,1262.3,287.8,1912.5,763.8,821,995,679.9,379.7
244352_at,427.2,283.2,187.4,242.5,489.5,160.6,420.4,269.5
244353_s_at,1311,835.2,546.1,346.5,667.3,862.3,817.1,964.8
244354_at,883.9,748.4,613.9,830.5,387.4,536.4,467.6,627.9
244356_at,1107.1,1055.5,1019.3,412,1047.5,370.9,1360,782.9
244359_s_at,90.4,196.2,140.5,172,67.3,17.2,9.3,27
244368_x_at,13012.1,12153.3,7085.8,11688.5,9889.1,10276.7,11797.8,15407.4
244370_at,14119.9,13520.7,11730.9,17496.8,3151.5,13411.7,3898.4,5014.1
244374_at,522.7,182.7,411,495.8,189.6,450.5,736.7,151.7
244377_at,995,483.1,1009,117.8,832.2,902.2,1497,1634.5
244395_at,571.7,530,312.9,467.4,285.9,159.1,178.8,329.3
244396_at,2184.8,1335.3,1930.8,1449.5,768,1152.6,1051.8,1612.1
244401_at,396.2,916.2,777.2,250.3,1066.2,608.9,1568.4,896.9
244416_at,1214.8,394.7,808.4,832.2,753,672.5,901.6,1344.9
